Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Kilómetros,Título,Precio,Moneda,Tipo de vendedor
Peugeot,2008,2018.0,1.6 Feline Tip,,Nafta,5.0,Automática,1.6,22000 km,Peugeot 2008 1.6 Feline Tip,15500.0,U$S,concesionaria
Peugeot,2008,2017.0,1.6 Thp Sport,,Nafta,5.0,Manual,1.6,126000 km,Peugeot 2008 1.6 Thp Sport,13500.0,U$S,concesionaria
Peugeot,2008,2016.0,1.6 Thp Sport,,Nafta,5.0,Manual,1.6,125000 km,Peugeot 2008 1.6 Thp Sport,10800.0,U$S,concesionaria
Peugeot,2008,2020.0,1.6 Thp Sport am20,Marrón,Nafta,5.0,Manual,1.6,31000 km,Peugeot 2008 1.6 Thp Sport am20,21000.0,U$S,particular
Peugeot,2008,2016.0,1.6 Active,,Nafta,5.0,Manual,1.6,17000 km,Peugeot 2008 1.6 Active,12430.62,U$S,concesionaria
Peugeot,2008,2022.0,1.6 Thp Sport Tip,Blanco,Nafta,5.0,Automática,1.6,58000 km,Peugeot 2008 1.6 Thp Sport Tip,18181.82,U$S,tienda
Peugeot,2008,2017.0,1.6 Feline,Blanco,Nafta,5.0,Manual,1.6,140000 km,Peugeot 2008 1.6 Feline,15550.24,U$S,concesionaria
Peugeot,2008,2016.0,1.6 Thp Sport,,Nafta,5.0,Manual,1.6,75000 km,Peugeot 2008 1.6 Thp Sport,11961.72,U$S,concesionaria
Peugeot,2008,2020.0,1.6 Feline,,Nafta,5.0,Manual,1.6,30000 km,Peugeot 2008 1.6 Feline,18500.0,U$S,concesionaria
Peugeot,2008,2020.0,1.6 Thp Sport am20,,Nafta,5.0,Manual,1.6,53000 km,Peugeot 2008 1.6 Thp Sport am20,17900.0,U$S,particular
Peugeot,2008,2019.0,1.6 Thp Sport,Blanco,Nafta,5.0,Manual,1.6,92000 km,Peugeot 2008 1.6 Thp Sport,16746.41,U$S,concesionaria
Peugeot,2008,2016.0,1.6 Allure,,Nafta,5.0,Manual,1.6,104000 km,Peugeot 2008 1.6 Allure,10526.32,U$S,particular
