Marca,Modelo,Año,Versión,Color,Tipo de combustible,Transmisión,Motor,Kilómetros,Título,Precio,Moneda,Tipo de vendedor
Peugeot,2008,2022.0,1.6 Feline Tip,Blanco,Nafta,Automática,1.6,27000,Peugeot 2008 1.6 Feline Tip,21531.1,U$S,tienda
Peugeot,2008,2017.0,1.6 Feline,Gris,Nafta,Manual,1.6,49000,Peugeot 2008 1.6 Feline,15000.0,U$S,concesionaria
Peugeot,2008,2020.0,1.6 FELINE L/19 TIPTRONIC,Gris,Nafta,Automática,1,47520,Peugeot 2008 1.6 FELINE L/19 TIPTRONIC,16976.08,U$S,tienda
Peugeot,2008,2022.0,1.6 THP SPORT TIPTRONIC,Blanco,Nafta,Automática,1,17219,Peugeot 2008 1.6 THP SPORT TIPTRONIC,20985.65,U$S,tienda
Peugeot,2008,2016.0,1.6 FELINE MT 4x2,Plateado,Nafta,Manual,1,51000,Peugeot 2008 1.6 FELINE MT 4x2,12813.4,U$S,tienda
Peugeot,2008,2022.0,1.6 Féline Mt,Gris,Nafta,Manual,1,21271,Peugeot 2008 1.6 Féline Mt,20574.16,U$S,tienda
Peugeot,2008,2018.0,1.6 THP SPORT MT,Blanco,Nafta,Manual,1,47300,Peugeot 2008 1.6 THP SPORT MT,15148.33,U$S,tienda
Peugeot,2008,2021.0,1.6 In Concert,Rojo,Nafta,Manual,1.6,44000,Peugeot 2008 1.6 In Concert,18950.0,U$S,concesionaria
Peugeot,2008,2024.0,1.6 Feline Tip,Plateado,Nafta,Automática,1.6,0,Peugeot 2008 1.6 Feline Tip,15311.0,U$S,concesionaria
Peugeot,2008,2016.0,1.6 ACTIVE MT 4x2,Gris,Nafta,Manual,1,55598,Peugeot 2008 1.6 ACTIVE MT 4x2,11799.04,U$S,tienda
Peugeot,2008,2016.0,1.6 Allure,Gris,Nafta,Manual,1.6,95000,Peugeot 2008 1.6 Allure,13500.0,U$S,concesionaria
Peugeot,2008,2017.0,1.6 Féline Mt,Plateado,Nafta,Manual,1,76085,Peugeot 2008 1.6 Féline Mt,12861.24,U$S,tienda
Peugeot,2008,2019.0,1.6 Allure,Gris,Nafta,Manual,1.6,67000,Peugeot 2008 1.6 Allure,15789.47,U$S,concesionaria
Peugeot,2008,2019.0,1.6 Feline Tiptronic,Gris,Nafta,Automática,1,69784,Peugeot 2008 1.6 Feline Tiptronic,14937.8,U$S,tienda
Peugeot,2008,2021.0,1.6 Allure,Marrón,Nafta,Manual,1.6,17500,Peugeot 2008 1.6 Allure,18947.37,U$S,tienda
Peugeot,2008,2018.0,1.6 Allure Mt,Blanco,Nafta,Manual,1,97442,Peugeot 2008 1.6 Allure Mt,10832.54,U$S,tienda
Peugeot,2008,2022.0,1.6 Feline,Gris,Nafta,Manual,INYECCION MULTI PUNTO,69000,Peugeot 2008 1.6 Feline,20497.61,U$S,tienda
Peugeot,2008,2018.0,1.6 Allure,,Nafta,Manual,1.6,94000,Peugeot 2008 1.6 Allure,12430.53,U$S,concesionaria
Peugeot,2008,2018.0,1.6 Active,Blanco,Nafta,Manual,1.6,88000,Peugeot 2008 1.6 Active,13732.06,U$S,concesionaria
Peugeot,2008,2022.0,1.6 Thp Sport Tip,Blanco,Nafta,Automática,1.6,8000,Peugeot 2008 1.6 Thp Sport Tip,22000.0,U$S,concesionaria
Peugeot,2008,2017.0,1.6 Thp Sport,Gris,Nafta,Manual,1.6,129800,Peugeot 2008 1.6 Thp Sport,12500.0,U$S,concesionaria
Peugeot,2008,2018.0,1.6 THP SPORT MT,Blanco,Nafta,Manual,1,14380,Peugeot 2008 1.6 THP SPORT MT,16679.43,U$S,tienda
Peugeot,2008,2021.0,1.6 Feline,Plateado,Nafta,Manual,1.6,13000,Peugeot 2008 1.6 Feline,19800.0,U$S,concesionaria
Peugeot,2008,2019.0,1.6 Thp Sport,Marrón,Nafta,Manual,1.6,25000,Peugeot 2008 1.6 Thp Sport,17703.25,U$S,tienda
Peugeot,2008,2017.0,1.6 Allure Tip,Gris,Nafta,Automática,1.6,50520,Peugeot 2008 1.6 Allure Tip,13200.0,U$S,concesionaria
Peugeot,2008,2020.0,1.6 ALLURE L/19 MT,Blanco,Nafta,Manual,1,16835,Peugeot 2008 1.6 ALLURE L/19 MT,17502.39,U$S,tienda
Peugeot,2008,2016.0,1.6 Allure Tip,Marrón,Nafta,Automática,1.6,80100,Peugeot 2008 1.6 Allure Tip,12700.0,U$S,concesionaria
Peugeot,2008,2017.0,1.6 Thp Sport,,Nafta,Manual,1.6,78000,Peugeot 2008 1.6 Thp Sport,13000.0,U$S,concesionaria
Peugeot,2008,2019.0,1.6 Thp Sport,Plateado,Nafta,Manual,1.6,63200,Peugeot 2008 1.6 Thp Sport,16555.02,U$S,tienda
Peugeot,2008,2020.0,1.6 In Concert Tiptronic,Plateado,Nafta,Automática,1.6,78406,Peugeot 2008 1.6 In Concert Tiptronic,16500.0,U$S,concesionaria
Peugeot,2008,2022.0,1.6 Thp Sport Tip,Blanco,Nafta,Automática,1.6,8910,Peugeot 2008 1.6 Thp Sport Tip,26000.0,U$S,concesionaria
Peugeot,2008,2017.0,1.6 Feline,,Nafta,Manual,1.6,50000,Peugeot 2008 1.6 Feline,15023.92,U$S,concesionaria
Peugeot,2008,2018.0,1.6 Allure,Blanco,Nafta,Manual,1.6,79000,Peugeot 2008 1.6 Allure,13205.74,U$S,concesionaria
Peugeot,2008,2017.0,1.6 Allure,Blanco,Nafta,Manual,1.6,87000,Peugeot 2008 1.6 Allure,12440.19,U$S,concesionaria
Peugeot,2008,2021.0,1.6 Feline am20,Blanco,Nafta,Manual,1.6,56000,Peugeot 2008 1.6 Feline am20,19999.04,U$S,concesionaria
Peugeot,2008,2016.0,1.6 Feline,Gris oscuro,Nafta/GNC,Manual,1.6,102000,Peugeot 2008 1.6 Feline,12926.32,U$S,concesionaria
Peugeot,2008,2021.0,1.6 Allure am20,Gris,Nafta,Manual,1.6,43000,Peugeot 2008 1.6 Allure am20,17400.0,U$S,particular
Peugeot,2008,2020.0,1.6 Thp Sport Tip,Marrón,Nafta,Automática,1.6,45352,Peugeot 2008 1.6 Thp Sport Tip,18500.0,U$S,concesionaria
Peugeot,2008,2022.0,1.6 Thp Sport Tip,Blanco,Nafta,Automática,1.6,6000,Peugeot 2008 1.6 Thp Sport Tip,22500.0,U$S,concesionaria
Peugeot,2008,2019.0,1.6 Feline,Blanco,Nafta,Manual,1.6,48000,Peugeot 2008 1.6 Feline,14300.0,U$S,concesionaria
Peugeot,2008,2017.0,1.6 Thp Sport,Blanco,Nafta,Manual,1.6,136000,Peugeot 2008 1.6 Thp Sport,11961.72,U$S,concesionaria
Peugeot,2008,2016.0,1.6 Thp Sport,Negro,Nafta,Manual,1.6,99000,Peugeot 2008 1.6 Thp Sport,10999.0,U$S,concesionaria
Peugeot,2008,2017.0,1.6 Feline,,Nafta,Manual,1.6,100000,Peugeot 2008 1.6 Feline,13301.44,U$S,concesionaria
Peugeot,2008,2018.0,1.6 Feline,Gris,Nafta,Manual,1.6,51780,Peugeot 2008 1.6 Feline,17500.0,U$S,concesionaria
Peugeot,2008,2018.0,1.6 Allure,,Nafta,Manual,1.6,79000,Peugeot 2008 1.6 Allure,5885.17,U$S,concesionaria
Peugeot,2008,2016.0,1.6 Allure,,Nafta,Manual,1.6,72000,Peugeot 2008 1.6 Allure,13500.0,U$S,concesionaria
Peugeot,2008,2020.0,1.6 Allure,Blanco,Nafta,Manual,1.6,23603,Peugeot 2008 1.6 Allure,18181.82,U$S,tienda
Peugeot,2008,2020.0,1.6 Thp Sport Tip,Blanco,Nafta,Automática,1.6,61000,Peugeot 2008 1.6 Thp Sport Tip,18851.67,U$S,concesionaria
Peugeot,2008,2017.0,1.6 Thp In Concert,Plateado,Nafta,Manual,1.6,110000,Peugeot 2008 1.6 Thp In Concert,11387.56,U$S,concesionaria
Peugeot,2008,2016.0,1.6 Thp Sport,Negro,Nafta,Manual,1.6,101000,Peugeot 2008 1.6 Thp Sport,11004.78,U$S,concesionaria
Peugeot,2008,2024.0,1.6 Feline,Gris,Nafta,Manual,1.6,0,Peugeot 2008 1.6 Feline,14354.07,U$S,concesionaria
Peugeot,2008,2019.0,1.6 Feline,Negro,Nafta,Manual,1.6,49000,Peugeot 2008 1.6 Feline,18100.0,U$S,concesionaria
Peugeot,2008,2017.0,1.6 Allure Tip,Plateado,Nafta,Automática,1.6,58000,Peugeot 2008 1.6 Allure Tip,7655.5,U$S,tienda
Peugeot,2008,2020.0,1.6 Allure,,Nafta,Manual,1.6,120000,Peugeot 2008 1.6 Allure,16459.33,U$S,concesionaria
Peugeot,2008,2018.0,1.6 Feline,Blanco,Nafta,Manual,1.6,49500,Peugeot 2008 1.6 Feline,14246.89,U$S,concesionaria
Peugeot,2008,2021.0,1.6 Feline am20,,Nafta,Manual,1.6,55400,Peugeot 2008 1.6 Feline am20,18947.37,U$S,concesionaria
Peugeot,2008,2017.0,1.6 Feline,Gris,Nafta,Manual,1.6,90000,Peugeot 2008 1.6 Feline,7177.03,U$S,concesionaria
Peugeot,2008,2022.0,1.6 Feline,Negro,Nafta,Manual,1.6,44500,Peugeot 2008 1.6 Feline,21617.22,U$S,concesionaria
Peugeot,2008,2019.0,1.6 Feline,Blanco,Nafta,Manual,1.6,60000,Peugeot 2008 1.6 Feline,16459.33,U$S,concesionaria
