Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Título,Precio,Moneda,Tipo de vendedor,Con cámara de retroceso
Peugeot,2008,2020.0,1.6 Thp Sport am20,Marrón,Nafta,5.0,Manual,1.6,SUV,31000 km,Peugeot 2008 1.6 Thp Sport am20,21000.0,U$S,particular,Sí
Peugeot,2008,2016.0,1.6 Active,,Nafta,5.0,Manual,1.6,SUV,17000 km,Peugeot 2008 1.6 Active,11809.09,U$S,concesionaria,
Peugeot,2008,2022.0,1.6 Thp Sport Tip,Blanco,Nafta,5.0,Automática,1.6,SUV,58000 km,Peugeot 2008 1.6 Thp Sport Tip,17272.73,U$S,tienda,
Peugeot,2008,2017.0,1.6 Feline,Blanco,Nafta,5.0,Manual,1.6,SUV,140000 km,Peugeot 2008 1.6 Feline,14772.73,U$S,concesionaria,
Peugeot,2008,2016.0,1.6 Thp Sport,,Nafta,5.0,Manual,1.6,SUV,75000 km,Peugeot 2008 1.6 Thp Sport,11363.64,U$S,concesionaria,
Peugeot,2008,2020.0,1.6 Feline,,Nafta,5.0,Manual,1.6,SUV,30000 km,Peugeot 2008 1.6 Feline,18500.0,U$S,concesionaria,
Peugeot,2008,2020.0,1.6 Thp Sport am20,,Nafta,5.0,Manual,1.6,SUV,53000 km,Peugeot 2008 1.6 Thp Sport am20,17900.0,U$S,particular,
Peugeot,2008,2019.0,1.6 Thp Sport,Blanco,Nafta,5.0,Manual,1.6,SUV,92000 km,Peugeot 2008 1.6 Thp Sport,15909.09,U$S,concesionaria,
Peugeot,2008,2016.0,1.6 Allure,,Nafta,5.0,Manual,1.6,SUV,104000 km,Peugeot 2008 1.6 Allure,10000.0,U$S,particular,
Peugeot,2008,2017.0,1.6 Allure Tip,,Nafta,5.0,Automática,1.6,SUV,78000 km,Peugeot 2008 1.6 Allure Tip,12636.36,U$S,particular,
Peugeot,2008,2020.0,1.6 Thp Sport,,Nafta,5.0,Manual,1.6,SUV,55000 km,Peugeot 2008 1.6 Thp Sport,19000.0,U$S,particular,
Peugeot,2008,2017.0,1.6 Feline,,Nafta,5.0,Manual,1.6,SUV,105000 km,Peugeot 2008 1.6 Feline,12636.36,U$S,particular,
Peugeot,2008,2017.0,1.6 Feline,,Nafta,5.0,Manual,1.6,SUV,106000 km,Peugeot 2008 1.6 Feline,15000.0,U$S,particular,
Peugeot,2008,2016.0,1.6 Feline,,Nafta,5.0,Manual,1.6,SUV,110000 km,Peugeot 2008 1.6 Feline,10909.09,U$S,particular,
Peugeot,2008,2019.0,1.6 Feline,,Nafta,5.0,Manual,1.6,SUV,75000 km,Peugeot 2008 1.6 Feline,16363.64,U$S,particular,
Peugeot,2008,2016.0,1.6 Thp Sport,Blanco,Nafta,5.0,Manual,1.6,SUV,122000 km,Peugeot 2008 1.6 Thp Sport,9272.73,U$S,particular,
Peugeot,2008,2016.0,1.6 Allure,Blanco,Nafta,5.0,Manual,1.6,SUV,107000 km,Peugeot 2008 1.6 Allure,13454.55,U$S,concesionaria,
Peugeot,2008,2018.0,1.6 Active,,Nafta,5.0,Manual,1.6,SUV,160000 km,Peugeot 2008 1.6 Active,12400.0,U$S,particular,
Peugeot,2008,2020.0,1.6 Thp Sport am20,,Nafta,5.0,Manual,1.6,SUV,52000 km,Peugeot 2008 1.6 Thp Sport am20,15454.55,U$S,particular,
Peugeot,2008,2018.0,1.6 Allure Tip,,Nafta,5.0,Automática,1.6,SUV,37000 km,Peugeot 2008 1.6 Allure Tip,14600.0,U$S,particular,
Peugeot,2008,2023.0,1.6 Feline,Plateado,Nafta,5.0,Manual,1.6,SUV,11190 km,Peugeot 2008 1.6 Feline,24800.0,U$S,particular,
Peugeot,2008,2017.0,1.6 Feline,,Nafta,5.0,Manual,1.6,SUV,95000 km,Peugeot 2008 1.6 Feline,12272.73,U$S,particular,
Peugeot,2008,2017.0,1.6 Active,,Nafta,5.0,Manual,1.6,SUV,121000 km,Peugeot 2008 1.6 Active,10700.0,U$S,particular,
Peugeot,2008,2019.0,1.6 Crossway,Blanco,Nafta,5.0,Manual,1.6,SUV,53117 km,Peugeot 2008 1.6 Crossway,14454.55,U$S,concesionaria,
Peugeot,2008,2021.0,1.6 Feline,,Nafta,5.0,Manual,1.6,SUV,30000 km,Peugeot 2008 1.6 Feline,20000.0,U$S,particular,
Peugeot,2008,2019.0,1.6 Feline,Gris,Nafta,5.0,Manual,1.6,SUV,58000 km,Peugeot 2008 1.6 Feline,15363.64,U$S,concesionaria,
Peugeot,2008,2016.0,1.6 Allure Tip,,Nafta,5.0,Automática,1.6,SUV,97000 km,Peugeot 2008 1.6 Allure Tip,12681.82,U$S,particular,
Peugeot,2008,2023.0,Active Pack TipTroni,,Nafta,5.0,Manual,1.6,SUV,4300 km,Peugeot 2008 Active Pack TipTroni,19300.0,U$S,particular,
Peugeot,2008,2017.0,1.6 Thp Sport,Blanco,Nafta,5.0,Manual,1.6,SUV,100000 km,Peugeot 2008 1.6 Thp Sport,12800.0,U$S,particular,
Peugeot,2008,2021.0,1.6 Thp Sport Tip,Plateado,Nafta,5.0,Automática,1.6,SUV,58000 km,Peugeot 2008 1.6 Thp Sport Tip,19500.0,U$S,particular,
Peugeot,2008,2017.0,1.6 Allure Tip,,Nafta,5.0,Automática,1.6,SUV,95000 km,Peugeot 2008 1.6 Allure Tip,13000.0,U$S,particular,
Peugeot,2008,2021.0,1.6 Allure,Blanco,Nafta,5.0,Manual,1.6,SUV,24900 km,Peugeot 2008 1.6 Allure,15372.73,U$S,concesionaria,
Peugeot,2008,2018.0,1.6 Feline Tip,,Nafta,5.0,Automática,1.6,SUV,92000 km,Peugeot 2008 1.6 Feline Tip,13000.0,U$S,particular,
Peugeot,2008,2019.0,1.6 Thp Sport,,Nafta,5.0,Manual,1.6,SUV,50000 km,Peugeot 2008 1.6 Thp Sport,15727.27,U$S,particular,
Peugeot,2008,2018.0,1.6 Feline,Blanco,Nafta,5.0,Manual,1.6,SUV,48003 km,Peugeot 2008 1.6 Feline,16500.0,U$S,concesionaria,
Peugeot,2008,2022.0,1.6 Feline Tip,Blanco,Nafta,5.0,Automática,1.6,SUV,27000 km,Peugeot 2008 1.6 Feline Tip,20454.54,U$S,tienda,
Peugeot,2008,2017.0,1.6 Feline,Gris,Nafta,5.0,Manual,1.6,SUV,49000 km,Peugeot 2008 1.6 Feline,15000.0,U$S,concesionaria,
Peugeot,2008,2020.0,1.6 FELINE L/19 TIPTRONIC,Gris,Nafta,5.0,Automática,1,SUV,47520 km,Peugeot 2008 1.6 FELINE L/19 TIPTRONIC,16127.27,U$S,tienda,No
Peugeot,2008,2022.0,1.6 THP SPORT TIPTRONIC,Blanco,Nafta,5.0,Automática,1,SUV,17219 km,Peugeot 2008 1.6 THP SPORT TIPTRONIC,19936.36,U$S,tienda,No
