Marca,Modelo,Año,Color,Tipo de combustible,Transmisión,Motor,Kilómetros,Precio,Tipo de vendedor,Edad,Km promedio por año,Cilindros,Turbo
Peugeot,2008,2022.0,blanco,Nafta,Automática,1.6,27000,23684.21,tienda,2.0,13500.0,1,0
Peugeot,2008,2017.0,gris,Nafta,Manual,1.6,49000,15000.0,concesionaria,7.0,7000.0,1,0
Peugeot,2008,2020.0,gris,Nafta,Automática,1.6,47520,18673.68,tienda,4.0,11880.0,1,0
Peugeot,2008,2022.0,blanco,Nafta,Automática,1.6,17219,23084.21,tienda,2.0,8609.0,1,0
Peugeot,2008,2016.0,plata,Nafta,Manual,1.6,51000,14094.74,tienda,8.0,6375.0,1,0
Peugeot,2008,2022.0,gris,Nafta,Manual,1.6,21271,22631.58,tienda,2.0,10635.0,1,0
Peugeot,2008,2018.0,blanco,Nafta,Manual,1.6,47300,16663.16,tienda,6.0,7883.0,1,0
Peugeot,2008,2021.0,rojo,Nafta,Manual,1.6,44000,18950.0,concesionaria,3.0,14666.0,1,0
Peugeot,2008,2024.0,plata,Nafta,Automática,1.6,0,16842.11,concesionaria,0.0,0.0,1,0
Peugeot,2008,2016.0,gris,Nafta,Manual,1.6,55598,12978.95,tienda,8.0,6949.0,1,0
Peugeot,2008,2016.0,gris,Nafta,Manual,1.6,95000,13500.0,concesionaria,8.0,11875.0,1,0
Peugeot,2008,2017.0,plata,Nafta,Manual,1.6,76085,14147.37,tienda,7.0,10869.0,1,0
Peugeot,2008,2019.0,gris,Nafta,Manual,1.6,67000,17368.42,concesionaria,5.0,13400.0,1,0
Peugeot,2008,2019.0,gris,Nafta,Automática,1.6,69784,16431.58,tienda,5.0,13956.0,1,0
Peugeot,2008,2021.0,marrón,Nafta,Manual,1.6,17500,20842.11,tienda,3.0,5833.0,1,0
Peugeot,2008,2018.0,blanco,Nafta,Manual,1.6,97442,11915.79,tienda,6.0,16240.0,1,0
Peugeot,2008,2022.0,gris,Nafta,Manual,1.6,69000,22547.37,tienda,2.0,34500.0,1,0
Peugeot,2008,2018.0,rojo,Nafta,Manual,1.6,94000,13673.58,concesionaria,6.0,15666.0,1,0
Peugeot,2008,2018.0,blanco,Nafta,Manual,1.6,88000,15105.26,concesionaria,6.0,14666.0,1,0
Peugeot,2008,2022.0,blanco,Nafta,Automática,1.6,8000,22000.0,concesionaria,2.0,4000.0,1,0
Peugeot,2008,2017.0,gris,Nafta,Manual,1.6,129800,12500.0,concesionaria,7.0,18542.0,1,0
Peugeot,2008,2018.0,blanco,Nafta,Manual,1.6,14380,18347.37,tienda,6.0,2396.0,1,0
Peugeot,2008,2021.0,plata,Nafta,Manual,1.6,13000,19800.0,concesionaria,3.0,4333.0,1,0
Peugeot,2008,2019.0,marrón,Nafta,Manual,1.6,25000,19473.58,tienda,5.0,5000.0,1,0
Peugeot,2008,2017.0,gris,Nafta,Automática,1.6,50520,13200.0,concesionaria,7.0,7217.0,1,0
Peugeot,2008,2020.0,blanco,Nafta,Manual,1.6,16835,19252.63,tienda,4.0,4208.0,1,0
Peugeot,2008,2016.0,marrón,Nafta,Automática,1.6,80100,12700.0,concesionaria,8.0,10012.0,1,0
Peugeot,2008,2017.0,negro,Nafta,Manual,1.6,78000,13000.0,concesionaria,7.0,11142.0,1,0
Peugeot,2008,2019.0,plata,Nafta,Manual,1.6,63200,18210.53,tienda,5.0,12640.0,1,0
Peugeot,2008,2020.0,plata,Nafta,Automática,1.6,78406,16500.0,concesionaria,4.0,19601.0,1,0
Peugeot,2008,2022.0,blanco,Nafta,Automática,1.6,8910,26000.0,concesionaria,2.0,4455.0,1,0
Peugeot,2008,2017.0,gris,Nafta,Manual,1.6,50000,16526.32,concesionaria,7.0,7142.0,1,0
Peugeot,2008,2018.0,blanco,Nafta,Manual,1.6,79000,14526.32,concesionaria,6.0,13166.0,1,0
Peugeot,2008,2017.0,blanco,Nafta,Manual,1.6,87000,13684.21,concesionaria,7.0,12428.0,1,0
Peugeot,2008,2021.0,blanco,Nafta,Manual,1.6,56000,21998.95,concesionaria,3.0,18666.0,1,0
Peugeot,2008,2016.0,gris,Nafta/GNC,Manual,1.6,102000,14218.95,concesionaria,8.0,12750.0,1,0
Peugeot,2008,2021.0,gris,Nafta,Manual,1.6,43000,17400.0,particular,3.0,14333.0,1,0
Peugeot,2008,2020.0,marrón,Nafta,Automática,1.6,45352,18500.0,concesionaria,4.0,11338.0,1,0
Peugeot,2008,2022.0,blanco,Nafta,Automática,1.6,6000,22500.0,concesionaria,2.0,3000.0,1,0
Peugeot,2008,2019.0,blanco,Nafta,Manual,1.6,48000,14300.0,concesionaria,5.0,9600.0,1,0
Peugeot,2008,2017.0,blanco,Nafta,Manual,1.6,136000,13157.89,concesionaria,7.0,19428.0,1,0
Peugeot,2008,2016.0,negro,Nafta,Manual,1.6,99000,10999.0,concesionaria,8.0,12375.0,1,0
Peugeot,2008,2017.0,dorado,Nafta,Manual,1.6,100000,14631.58,concesionaria,7.0,14285.0,1,0
