Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Título,Precio,Moneda,Tipo de vendedor,Con cámara de retroceso
Chevrolet,Tracker,2024,1.2 Ltz Turbo At,Azul,Nafta,5.0,Automática,1.2,SUV,0 km,Chevrolet Tracker 1.2 Ltz Turbo At,30500000.0,$,concesionaria,
Chevrolet,Tracker,2018,1.8 Ltz+ 140cv,Plateado,Nafta,5.0,Automática,1.8,SUV,93000 km,Chevrolet Tracker 1.8 Ltz+ 140cv,17500000.0,$,concesionaria,
Chevrolet,Tracker,2024,1.2 Turbo Premier At,Azul,Nafta,5.0,Automática,1.2,SUV,0 km,Chevrolet Tracker 1.2 Turbo Premier At,32900000.0,$,concesionaria,Sí
Chevrolet,Tracker,2013,1.8 Ltz Fwd Mt 140cv,Plateado,Nafta,5.0,Manual,1.8,SUV,92500 km,Chevrolet Tracker 1.8 Ltz Fwd Mt 140cv,10999.0,U$S,concesionaria,
Chevrolet,Tracker,2021,1.2 Premier Turbo At,Plateado,Nafta,5.0,Automática,1.2,SUV,28000 km,Chevrolet Tracker 1.2 Premier Turbo At,26000000.0,$,tienda,
Chevrolet,Tracker,2024,1.2 Turbo At,Rojo,Nafta,5.0,Automática,1.2,SUV,0 km,Chevrolet Tracker 1.2 Turbo At,27446900.0,$,concesionaria,
Chevrolet,Tracker,2017,1.8 Ltz+,Gris,Nafta,5.0,Automática,1.8,SUV,126268 km,Chevrolet Tracker 1.8 Ltz+,16000000.0,$,tienda,
Chevrolet,Tracker,2018,1.8 Ltz+ 140cv,Plateado,Nafta,5.0,Automática,1.8,SUV,90333 km,Chevrolet Tracker 1.8 Ltz+ 140cv,20900000.0,$,concesionaria,
Chevrolet,Tracker,2023,1.2 Turbo At,Blanco,Nafta,5.0,Automática,1.2,SUV,0 km,Chevrolet Tracker 1.2 Turbo At,8000000.0,$,concesionaria,
Chevrolet,Tracker,2023,1.2 Turbo Mt,Gris,Nafta,5.0,Manual,1.2,SUV,0 km,Chevrolet Tracker 1.2 Turbo Mt,22500.0,U$S,concesionaria,No
Chevrolet,Tracker,2016,1.8 Ltz Awd At 140cv,Negro,Nafta,5.0,Automática,1.8,SUV,101000 km,Chevrolet Tracker 1.8 Ltz Awd At 140cv,13900.0,U$S,concesionaria,
Chevrolet,Tracker,2017,1.8 Ltz,Gris,Nafta,5.0,Manual,1.8,SUV,106551 km,Chevrolet Tracker 1.8 Ltz,15365000.0,$,tienda,
Chevrolet,Tracker,2019,1.8 Ltz 140cv,Plateado,Nafta,5.0,Automática,1.8,SUV,51000 km,Chevrolet Tracker 1.8 Ltz 140cv,18000.0,U$S,concesionaria,
Chevrolet,Tracker,2017,1.8 Ltz,Gris,Nafta,5.0,Manual,1.8,SUV,84600 km,Chevrolet Tracker 1.8 Ltz,17270000.0,$,concesionaria,
Chevrolet,Tracker,2017,1.8 Ltz,Azul,Nafta,5.0,Manual,1.8,SUV,87000 km,Chevrolet Tracker 1.8 Ltz,14450000.0,$,concesionaria,
Chevrolet,Tracker,2017,1.8 Ltz 140cv,Rojo,Nafta,5.0,Automática,1.8,SUV,126000 km,Chevrolet Tracker 1.8 Ltz 140cv,14800.0,U$S,concesionaria,
Chevrolet,Tracker,2016,1.8 Ltz Fwd Mt 140cv,Negro,Nafta,5.0,Manual,1.8,SUV,102000 km,Chevrolet Tracker 1.8 Ltz Fwd Mt 140cv,13700.0,U$S,concesionaria,
Chevrolet,Tracker,2021,1.2 Premier Turbo At,Gris,Nafta,5.0,Automática,1.2,SUV,46000 km,Chevrolet Tracker 1.2 Premier Turbo At,25900.0,U$S,concesionaria,
Chevrolet,Tracker,2016,1.8 Ltz Awd At 140cv,Gris,Nafta,5.0,Automática,1.8,SUV,95000 km,Chevrolet Tracker 1.8 Ltz Awd At 140cv,15000000.0,$,particular,Sí
Chevrolet,Tracker,2014,1.8 Ltz+ Awd At 140cv,Blanco,Nafta,5.0,Automática,1.8,SUV,120000 km,Chevrolet Tracker 1.8 Ltz+ Awd At 140cv,13500000.0,$,concesionaria,
Chevrolet,Tracker,2024,1.2 Turbo At,Gris,Nafta,5.0,Automática,1.2,SUV,0 km,Chevrolet Tracker 1.2 Turbo At,24500000.0,$,concesionaria,
Chevrolet,Tracker,2017,1.8 Ltz 140cv,Plateado,Nafta,5.0,Automática,1.8,SUV,94001 km,Chevrolet Tracker 1.8 Ltz 140cv,15500001.0,$,tienda,
Chevrolet,Tracker,2017,1.8 Ltz 140cv,Plateado,Nafta,5.0,Automática,1.8,SUV,94000 km,Chevrolet Tracker 1.8 Ltz 140cv,15500000.0,$,tienda,
Chevrolet,Tracker,2015,1.8 Ltz Awd At 140cv,Blanco,Nafta,4.0,Automática,1.8,SUV,63000 km,Chevrolet Tracker 1.8 Ltz Awd At 140cv,13500000.0,$,concesionaria,
Chevrolet,Tracker,2015,1.8 Ltz+ Awd At 140cv,Blanco,Nafta,5.0,Automática,1.8,SUV,87000 km,Chevrolet Tracker 1.8 Ltz+ Awd At 140cv,15400000.0,$,concesionaria,
